query,argument,stance,snippet,id,prediction,appropriate,inappropriate,word_count,supervised_summary
feminism,"Greetings! Thank you for this debate, this should be fun! In accepting this debate I do not pretend to stand for all of feminism seeing as there are many different sects of the movement. I also do not claim to know everything about feminism. I will use sources from the internet as well as books to support my argument. First, we must define Feminism. There are many different types of feminism. For example: Antiporn feminism, Cultural Feminism, Hip Hop feminism, Lesbian Feminism, Queer feminism, and Radical feminism. The feminism it seems you disagree with is the one that is prevalent in the Pink Hat movement. But my stance will be from the Antiporn and Cultural Feminist movements. These movements advocate the reality: Women are more nurturing, cooperative, and communicative. Instead of measuring themselves against men, women should make their own activities more visible and valued. Want to do away with the dehumanization of women in pornography You say that feminism has ""gone too far,"" but before we can continue, give me more to chew on.",PRO,"Instead of measuring themselves against men, women should make their own activities more visible and valued. ... Want to do away with the dehumanization of women in pornography You say that feminism has ""gone too far,"" but before",78,"['0.010666684806346893', '0.9893333196640015']",0.0106666848063468,0.9893333196640016,175,"There are many different types of feminism. The feminism it seems you disagree with is the one that is prevalent in the Pink Hat movement. But my stance will be from the Antiporn and Cultural Feminist movements. These movements advocate the reality: Women are more nurturing, cooperative, and communicative."
feminism,"Feminism Has NO gender. I am a Man And I am A Feminist. Feminism by definition stands up for all my perspectives, ambitions, desires and behaviours. Feminism is the ACT of Advocating (though perhaps passively in some circumstances) against Woman Abuse, and EVERYTHING which leads to women being slandered - Including False propaganda of Feminism by SLuts who enable womanizers and glorify perverts such as homosexuality. { It is not an act of feminism to defend a slut who enabled an adulterous man. That WOULD be counter productive. } I am Pro Feminism, that is why I accepted this debate. And Feminism has no gender, Nor Negative attributes.",PRO,"Feminism is the ACT of Advocating (though perhaps passively in some circumstances) against Woman Abuse, and EVERYTHING which leads to women being slandered - Including False propaganda of Feminism by SLuts who enable",79,"['0.0019202612340450287', '0.9980797171592712']",0.001920261234045,0.9980797171592712,105,"Feminism by definition stands up for all my perspectives, ambitions, desires and behaviours. I am Pro Feminism, that is why I accepted this debate. And Feminism has no gender, Nor Negative attributes."
feminism,"Con has argued dictionaries do not authoritatively define words, but has given no proof of this. Con's presented only one argument in this entire debate ""Since 'masculinism' is male supremacy, then feminism is female supremacy."" without giving any evidence to back the claim that words with similar roots cannot have different meanings. Furthermore, Con didn't provide any source of definition for Masculinism, so Con's argument is not sound. --- I have offered six authoritative sources stating that Feminism is the movement for equality between men and women. I am for equality between men and women. I am for Feminism. According to Con, Con is an ""equalist"" and is ""for the rights of men AND women"". Therefore, Con is also for Feminism. The statement of debate is ""Feminism"". I have proven I am Pro. I have proven Con is not Con.",PRO,"without giving any evidence to back the claim that words with similar roots cannot have different meanings. ... Therefore, Con is also for Feminism.",81,"['0.006865528249181807', '0.9931344747543335']",0.0068655282491818,0.9931344747543336,142,"Con has argued dictionaries do not authoritatively define words, but has given no proof of this. Con didn't provide any source of definition for Masculinism, so Con's argument is not sound. I have offered six authoritative sources stating that Feminism is the movement for equality between men and women. I am for Feminism."
feminism,"Yes certainly. But friend, simply giving your opinion on a topic isn't how you start or maintain a debate. You have to make a claim (or take a stance) on the issue and then give evidence and examples to back up that claim. In my last post, I was just explaining two types of feminism and their views. But since I was confused, I am taking back the first stance I made and am taking the side of Radical feminism (the movement that does these things you mentioned such as ""main spreading"" and ""hepeating""). Radical feminism is a movement whose main focus and objective is to challenge oppressive systems within society. This is incredibly important, as this revolutionary idea is what the United States government is based upon. We may have a system of checks and balances in government, but having one in society (such as this sect of Feminism) in order to keep certain people groups from having too much power is equally important, even if it may be annoying at times.",PRO,"But since I was confused, I am taking back the first stance I made and am taking the side of Radical feminism (the movement that does these things you mentioned such as ""main spreading"" and ""hepeating""). ... We may have a system",82,"['0.0074819315690547224', '0.9925180554389954']",0.0074819315690547,0.9925180554389954,174,"Radical feminism is a movement whose main focus and objective is to challenge oppressive systems within society. This is incredibly important, as this revolutionary idea is what the United States government is based upon. We may have a system of checks and balances in government, but having one in society is equally important."
feminism,"I agree with you that feminism is need in countries where women are oppressed and have little rights, but you must consider the conditions of the countries economy and social interaction because such a movement where they say one day ""Women now have the ability of free will under no circumstances can there husbands control what they do."" This could start massive revolts that would massacre women and could cause a rebellion against these weak 3rd world countries. Before feminism even comes to these countries, slow progressive changes must be made to deal with each conflict differently. You are very correct that feminism if no longer needed in 1st world countries like the US, but first democracy and peace must reach these areas. Much of these middle eastern countries make these laws due to Islamic influence, as Muslims believe that a woman must cover herself and listen to her husband. What these countries misinterpreted is how Islam doesn't state that husbands have complete control over their wives. Maybe a large religious event where a powerful person gives a touching speech talking about the word of Allah and how his true vision of an Islamic society would be that warms the hearts of Islamic country leaders and somehow influences them to establish laws that establish if not democratic rights or laws, feminism in the country.",CON,"I agree with you that feminism is need in countries where women are oppressed and have little rights, but you must consider the conditions of the countries economy and social interaction because such a movement where they ",83,"['0.06828723903745412', '0.9317127585411071']",0.0682872390374541,0.9317127585411072,225,"I agree with you that feminism is need in countries where women are oppressed and have little rights, but you must consider the conditions of the countries economy and social interaction. This could start massive revolts that would massacre women and could cause a rebellion against these weak 3rd world countries. Much of these middle eastern countries make these laws due to Islamic influence, as Muslims believe that a woman must cover herself and listen to her husband."
feminism,"Thank you for the response, especially since you had a bad internet connection. Let me refute your points. First off, I reject your definition of feminism. I think feminism was the belief that men and women should be equal, but I proved that this is no longer the case in third wave feminism. I also reject your premise, because I stated in my first argument that MODERN feminism is harmful. My opponent has implied that it is the fault of men today that women weren't allowed to vote in some states until 1919. It was wrong that this happened, but taking revenge on men won't solve anything. In fact, it will cause embitterment between both sexes. Your first argument is invalid, because I never said that men and women weren't intellectually equal (although they generally don't have as much physical strength as men do, which I will provide the proof for below). And again, you can't blame the phrasing of the Declaration of Independence on men born two centuries after it was created. I don't think you have won this debate. Maybe I am wrong though. Maybe you can prove yourself in the second round. Good luck http://www.ncbi.nlm.nih.gov... (source for men's vs. women's strength)",CON,My opponent has implied that it is the fault of men today that women weren't allowed to vote in some states until 1919. ... Good luck http://www.ncbi.nlm.nih.gov... (source for men's vs. women's strength),84,"['0.0021987765096127985', '0.9978012323379517']",0.0021987765096127,0.9978012323379516,217,"""I reject your definition of feminism. I proved that this is no longer the case in third wave feminism"" ""You can't blame the phrasing of the Declaration of Independence on men born two centuries after it was created"" ""I don't think you have won this debate. Maybe you can prove yourself in the second round"""
feminism,"it seems my opponent escaped his first opportunity to start his argument, So i'll do it instead. Many people mistake feminism with misandry, However it isn't equal. My side is pro-feminism, Not pro-misandry. The definition is clear: FEMINISM:""the advocacy of women's rights on the basis of the equality of the sexes. "" MISANDRY:""dislike of, Contempt for, Or ingrained prejudice against men (i. E. The male sex). "" both groups of people may protest, But overall feminism still play the sane part. They just ask for equality and rights. Equality not absolute oligarchy. The things feminism may protest would be like: ""STOP Gender Pay Gap! "" ""Girls Can Do This! "" these types of people protests in an assertive way. They just ask for the line being pushed back to the center, Not all the way to the other side. They protest on a basis of women being less rightful, And they most likely won't make up a random scenario that women is already superior at such fields. on the other side, What we most likely to see, And what would be in the spotlight, And what whom wanted the spotlight on themselves, Are the misandrists. They are less sane and more aggressive. Being mistaken for feminists, They actually push the fault onto the true feminists. such topics misandrists would argue are: ""Men are stupid"" ""Girls should rule"" all these leads to superiority and sexism, Not anything ""sane"". Notable feminists: (not necessarily, But they contribute to the women) Marie Curie(scientist):first woman to win a Nobel Prize, The first person and only woman to win twice, And the only person to win a Nobel Prize in two different sciences. "" Hillary Clinton: Democratic Party's nominee for President of the United States in the 2016 election, The first woman nominated by a major party. Rosa Parks:""American activist in the civil rights movement best known for her pivotal role in the Montgomery bus boycott. The United States Congress has called her ""the first lady of civil rights"" and ""the mother of the freedom movement"". "" Don't blame the fault of misandry to the feminism. These are 3( yes only 3) example of female empowerment and contribute against discrimination. What we see as misandrists discriminates, And are not equal to feminists. Feminists reduces discrimination.",PRO,"it seems my opponent escaped his first opportunity to start his argument, So i'll do it instead.  ... Notable feminists: (not necessarily, But they contribute to the women) Marie Curie(scientist):first woman to win a Nobel Prize,",86,"['0.0020744676934555174', '0.9979255437850952']",0.0020744676934555,0.9979255437850952,386,"Many people mistake feminism with misandry, However it isn't equal. My side is pro-feminism, Not pro-misandry. The things feminism may protest would be like: ""STOP Gender Pay Gap! "" These types of people protests in an assertive way. They just ask for the line being pushed back to the center, Not all the way to the other side. What we see as misandrists discriminates, And are not equal to feminists."
feminism,"First to answer the attack on Observation One: Pro's response to this was that we are not in Iraq. This piece of evidence was from 2010, and since then nothing has changed as we still have people supporting feminism. During the Iraq war, it was true that they were more likely to be raped than shot. If we were in Iraq today it would still stand. Next he said he was never talking about pornography, however it can be inferred from his opener. Now the big argument he made in this last round was that all my arguments were about equal rights, not feminism. However, this argument is flawed. A quick google search indicates the definition of feminism is ""the advocacy of women's rights on the grounds of political, social, and economic equality to men."" This meas that feminism, by its very definition means equal rights to women. Pro admitted they are pro equal rights, so therefore, by the very definition of feminism, they are pro feminism. Additionally, note Observation 2 and Advantages 1 and 2 were untouched in the last round, which is reason alone to vote for con. In conclusion, by the definition of feminism, pro conceded that feminism is good, as well as not denying that feminism is bad by not attacking my advantages of feminism.",CON,"If we were in Iraq today it would still stand. ... Next he said he was never talking about pornography, however it can be inferred from his opener.",88,"['0.012424395256675779', '0.9875756025314331']",0.0124243952566757,0.9875756025314332,221,"Pro admitted they are pro equal rights, so therefore, by the very definition of feminism, they're pro feminism. Pro conceded that feminism is good, as well as not denying that Feminism is bad by not attacking my advantages of feminism. Note Observation 2 and Advantages 1 and 2 were untouched in the last round."
feminism,"First off, I did some searching, and the Marriam-Webster dictionary is made in liberal Massachusetts. They clearly bended the definition to serve their needs. I don't agree with that definition. You see, if a said a was a ""masculinist"", people would say that I'm male supremacist, but if I called myself a feminist, I would be called a ""champion of rights"". So, since ""masculinism"" is male supremacy, then feminism is female supremacy. I consider myself an ""equalist"". Feminism today is so twisted and hypocritical today, that it is best to abandon it. I am for the rights of men AND women, not JUST women, and not ONLY men.",CON,"First off, I did some searching, and the Marriam-Webster dictionary is made in liberal Massachusetts.  ... You see, if a said a was a ""masculinist"", people would say that I'm male supremacist, but if I called myself a feminist, I",89,"['0.0016602854477241636', '0.9983397364616394']",0.0016602854477241,0.9983397364616394,111,"Feminism today is so twisted and hypocritical, that it is best to abandon it. I am for the rights of men AND women, not JUST women, and not ONLY men."
feminism,"But that is still promoting FEMALES as you said. It in no way promotes men. It simply belittles men in the eyes of the public. I agree that women are raped and sexually assulted by men but that has really nothing to do with the feminism I am speaking of. That is where feminism has come. It started as a civil rights movement in the 20s when women gained the right to vote. It has since pushed for women's rights which is fine. But the way the organization itself belittles the male population is disgusting. It has turned from a civil rights movement to a full blown rape awareness campaing. Rape has nothing to do with the rights of women. Rape is simply an action performed by an ignorant human. Women can rape too. Although not as common, it has happened and cases have been dismissed involving a man being raped. It is very clear that feminism does have a gender and that gender is female. It may have male supporters but it is a organization that promotes women and women only.",CON,"But the way the organization itself belittles the male population is disgusting. ... Although not as common, it has happened and cases have been dismissed involving a man being raped.",90,"['0.0018634781707078218', '0.9981365203857422']",0.0018634781707078,0.9981365203857422,183,Rape has nothing to do with the rights of women. Rape is simply an action performed by an ignorant human. It is very clear that feminism does have a gender and that gender is female. It may have male supporters but it is a organization that promotes women and women only.
abortion,"""The greatest destroyer of peace is abortion because if a mother can kill her own child, what is left for me to kill you and you to kill me? There is nothing between,"" says Mother Teresa. Abortion, what does this really mean? The definition of abortion is the deliberate termination of a human pregnancy, most often performed during the first 28 weeks. About 42 million women in the entire world with unintended pregnancies choose abortion. Abortion is a big controversial topic, people believe abortion should be illegal and others think it should stay legal. Why would someone want to kill an innocent little life? It""s not their fault people made mistakes and now they""re the ones having to pay for it. Abortion should be illegal because abortions are not safe, laws are protecting unborn babies, and fetuses can feel pain. Abortion should have never been legal.",CON,"""The greatest destroyer of peace is abortion because if a mother can kill her own child, what is left for me to kill you and you to kill me?  ... Why would someone want to kill an innocent little life?",161,"['0.33496322520077226', '0.6650367764756083']",0.3349632252007722,0.6650367764756083,148," abortion is the deliberate termination of a human pregnancy. About 42 million women in the entire world with unintended pregnancies choose abortion. Abortion should be illegal because abortions are not safe, laws are protecting unborn babies, and fetuses can feel pain."
abortion,"Thank you to both the audience and my opponent for yet another debate on abortion. The resolution is simply ""Abortion"" and my opponent has stated that he supports the affirmative. I shall then argue against that case. To begin, I submit the definition of Abortion by Medicine.net Medical Dictionary: Abortion: In medicine, an abortion is the premature exit of the products of conception (the fetus, fetal membranes, and placenta) from the uterus. It is the loss of a pregnancy and does not refer to why that pregnancy was lost. http://www.medterms.com... In addition, here is the wikipedia article in which the introduction defines abortion in the same manner: http://en.wikipedia.org... Since my opponent has used his first round to merely ask for my opening statement and did not clarify the resolution or offer any sort of framing, I will assume that my opponent is trying to affirm ""abortion"" in general. I start by arguing that there are many forms of abortion that should be prevented on moral grounds. 1. Partial Birth Abortions In which the fetus, nearly fully formed, is destroyed during induced labor. At this point in time, the mother might as well wait until full term and give it up for adoption as the already blurry line of morality in abortion becomes even blurrier. 2. Spontaneous Abortions In which a woman with an implanted fetus loses the fetus accidentally, commonly known as a miscarriage. This should be avoided because for the most part, women who miscarry actually wanted the child. 3. Abortions inflicted on unwilling people There is something inherently immoral in the act of walking up to a pregnant woman and kicking in her stomach such that she miscarries. Though this is a form of abortion, I argue that it should in no way be supported. 4. Dangerous abortions I am against many forms of abortion for health reasons. The use of coat hangers to stimulate an abortion, for example. Or throwing oneself off a flight of stairs. Or going to a back-alley abortionist that doubles as a tattoo parlor. These are all very dangerous ways of abortion. I look forward to my opponent's rebuttal. Thank you.",CON,"I shall then argue against that case. ... Since my opponent has used his first round to merely ask for my opening statement and did not clarify the resolution or offer any sort of framing, I will assume that my opponent is trying",162,"['0.3137462335638702', '0.6862537328153848']",0.3137462335638702,0.6862537328153848,367,"Abortion is the premature exit of the products of conception (the fetus, fetal membranes, and placenta) from the uterus. I am against many forms of abortion for health reasons. There is something inherently immoral in the act of walking up to a pregnant woman and kicking in her stomach such that she miscarries. The use of coat hangers to stimulate an abortion, for example. Or throwing oneself off a flight of stairs. These are all very dangerous ways of abortion."
